"Стандартная";"Дефектоскопы ультразвуковые";"2018-05-07T19:00:00.000Z";"164772";"8666-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["УД-11-ПУ (ГСП ЭКОН-2)"];"Нет";"ПО \"Волна\", Молдова, г.Кишинев";"008666-008018";"Заводской номер";"МОЛДОВА, РЕСПУБЛИКА, г.Кишинев, Да, ПО \"Волна\"";"387172"
"Стандартная";"Мониторы хирургические";"2018-05-07T19:00:00.000Z";"164771";"8665-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["МХ-01"];"Нет";"Завод НИИАП, г.Москва";"008665-008018";"Заводской номер";"РОССИЯ, г.Москва, Да, Завод НИИАП";"387171"
"Стандартная";"Нуль-термостаты термоэлектрические";"2018-05-07T19:00:00.000Z";"164770";"8664-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ТНТ-1"];"Нет";"Завод \"Биофизприбор\", Украина, г.Львов";"008664-008018";"Заводской номер";"УКРАИНА, г.Львов, Да, Завод \"Биофизприбор\"";"387170"
"Стандартная";"Пирометры спектрального отношения";"2018-05-07T19:00:00.000Z";"164769";"8663-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Спектропир-9"];"Нет";"П/я М-5912 (ЛНПО \"Буревестник\"), г.С.-Петербург";"008663-008018";"Заводской номер";"РОССИЯ, г.С.-Петербург, Да, П/я М-5912 (ЛНПО \"Буревестник\")";"387169"
"Стандартная";"Дозаторы жидкости";"2018-05-07T19:00:00.000Z";"164768";"8662-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Б2-ВДД"];"Нет";"Нет данных";"008662-008018";"Заводской номер";", , Да, ";"387168"
"Стандартная";"Преобразователи расхода частотные скважинные";"2018-05-07T19:00:00.000Z";"164767";"8661-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["РЧС"];"Нет";"Нет данных";"008661-008018";"Заводской номер";", , Да, ";"387167"
"Стандартная";"Приборы с ценой деления 0,01 мм";"2018-05-07T19:00:00.000Z";"164764";"8660-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["РМ"];"Нет";"Завод \"Красный инструментальщик\", г.Киров";"008660-008018";"Заводской номер";"РОССИЯ, г.Киров, Да, Завод \"Красный инструментальщик\"";"387164"
"Стандартная";"Приборы";"2018-05-07T19:00:00.000Z";"164766";"8660-97";"1 год";"";"Действует";;"Опубликована";["РМ"];"Да";"ЗАО \"Кировский завод \"Красный инструментальщик\", г.Киров;\nАО \"Кировский завод \"Красный инструментальщик\", г.Киров (срок свидетельства: 01.08.2002 г.)";"008660-008003";"Срок свидетельства";;"387166"
"Стандартная";"Приборы";"2018-05-07T19:00:00.000Z";"164763";"8660-13";"1 год";"Нет";"Действует";;"Опубликована";["РМ"];"Да";"ООО \"Кировский завод \"Красный инструментальщик\" (Крин), г.Киров";"008660-007987";"Срок свидетельства";"РОССИЯ, г.Киров, Да, ООО \"Кировский завод \"Красный инструментальщик\" (Крин)";"387163"
"Стандартная";"Преобразователи измерительные линейных и круговых перемещений";"2018-05-07T19:00:00.000Z";"164760";"8659-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ПИКП1-А3"];"Нет";"Электромеханический завод, г.С.-Петербург";"008659-008018";"Заводской номер";"РОССИЯ, г.С.-Петербург, Да, Электромеханический завод";"387160"
"Стандартная";"Преобразователи измерительные линейных и круговых перемещений";"2018-05-07T19:00:00.000Z";"164759";"8658-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ПИЛП1-А2"];"Нет";"Электромеханический завод, г.С.-Петербург";"008658-008018";"Заводской номер";"РОССИЯ, г.С.-Петербург, Да, Электромеханический завод";"387159"
"Стандартная";"Измерители скорости и затухания ультразвука";"2018-05-07T19:00:00.000Z";"164758";"8657-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["УС-12ИМ"];"Нет";"Завод \"Электроточприбор\" ПО \"Волна\", Молдова, г.Кишинев";"008657-008018";"Заводской номер";"МОЛДОВА, РЕСПУБЛИКА, г.Кишинев, Да, Завод \"Электроточприбор\" ПО \"Волна\"";"387158"
